time (ms),AGL (in cm),Pressure,Temperature
1429909,3,99301,3640
1430012,7,99301,3635
1430112,20,99299,3627
1430215,28,99298,3624
1442427,81,99292,3611
1442530,82,99292,3611
1442630,92,99291,3611
1442733,94,99290,3611
1442833,90,99291,3612
1444736,89,99291,3615
1444840,85,99291,3615
1444940,86,99291,3615
1445043,86,99291,3616
1445143,86,99291,3615
1481981,72,99293,3643
1482164,95,99290,3642
1482190,95,99290,3642
1482200,199,99278,3642
1482236,385,99256,3642
1482274,385,99256,3642
1482284,482,99245,3642
1482364,856,99200,3643
1482377,856,99200,3643
1482387,896,99196,3644
1482421,896,99196,3644
1482444,940,99190,3645
1482454,940,99190,3645
1482464,1018,99181,3646
1482496,1018,99181,3646
1482506,1143,99166,3647
1482532,1143,99166,3647
1482542,1305,99147,3648
1482573,1305,99147,3648
1482583,1506,99124,3649
1482622,1506,99124,3649
1482632,1752,99095,3650
1482658,1752,99095,3650
1482668,2061,99058,3651
1482694,2061,99058,3651
1482704,2402,99018,3652
1482736,2402,99018,3652
1482746,2797,98971,3653
1482772,2797,98971,3653
1482782,3233,98920,3654
1482821,3233,98920,3654
1482831,3689,98866,3654
1482857,3689,98866,3654
1482867,4154,98812,3655
1482899,4154,98812,3655
1482909,4622,98757,3655
1482935,4622,98757,3655
1482945,5091,98701,3656
1482976,5091,98701,3656
1482986,5556,98647,3656
1483056,6034,98591,3657
1483067,6034,98591,3657
1483077,6547,98530,3657
1483103,6547,98530,3657
1483113,7074,98468,3657
1483146,7074,98468,3657
1483156,7613,98405,3658
1483251,8188,98338,3658
1483261,8188,98338,3658
1483298,8831,98262,3657
1483308,9468,98188,3657
1483334,9468,98188,3657
1483344,10096,98114,3657
1483425,10721,98041,3658
1483438,10721,98041,3658
1483461,11392,97963,3657
1483471,11392,97963,3657
1483481,12055,97885,3657
1483513,12055,97885,3657
1483523,12721,97807,3657
1483557,12721,97807,3657
1483567,13378,97731,3657
1483593,13378,97731,3657
1483603,14037,97654,3658
1483634,14037,97654,3658
1483644,14686,97578,3658
1483676,14686,97578,3658
1483686,15356,97500,3658
1483712,15356,97500,3658
1483722,16038,97421,3658
1483761,16038,97421,3658
1483771,16721,97341,3659
1483797,16721,97341,3659
1483807,17406,97262,3659
1483839,17406,97262,3659
1483849,18075,97184,3659
